nct_id,start_date,registration_date,has_prospective_registration
NCT01112579,2010-04-30,2010-04-16,TRUE
NCT01109966,2010-06-30,2010-03-29,TRUE
NCT01106365,2010-02-28,2010-04-16,FALSE
NCT01105143,2012-03-31,2010-04-14,TRUE
NCT01082302,2010-01-31,2010-02-01,FALSE
NCT01081574,2010-01-31,2010-03-04,FALSE
NCT01079689,2010-02-28,2010-03-02,FALSE
NCT01065246,2009-11-30,2010-01-13,FALSE
NCT01064934,2010-09-30,2010-02-08,TRUE
NCT01061931,2009-03-31,2010-02-02,FALSE
NCT01061229,2010-03-31,2010-02-02,TRUE
NCT01061190,2010-01-31,2010-02-01,FALSE
NCT01057043,2010-01-31,2010-01-26,TRUE
NCT01054937,2010-01-31,2010-01-21,TRUE
NCT01050686,2010-03-31,2010-01-14,TRUE
NCT01049971,2007-12-31,2010-01-14,FALSE
NCT01049100,2009-04-30,2010-01-13,FALSE
NCT01047891,2010-01-31,2010-01-12,TRUE
NCT01045772,2009-01-31,2010-01-07,FALSE
NCT01035203,2009-12-31,2009-12-17,TRUE
NCT01013259,2009-02-28,2009-11-10,FALSE
NCT01013233,2009-12-31,2009-11-12,TRUE
NCT01006577,2010-06-30,2009-10-19,TRUE
NCT00996229,2009-11-30,2009-10-14,TRUE
NCT00993980,2009-10-31,2009-10-13,TRUE
NCT00986258,2009-10-30,2009-09-28,TRUE
NCT00974506,2009-08-31,2009-09-09,FALSE
NCT00970567,2007-11-30,2009-08-05,FALSE
NCT00958750,2008-06-30,2009-08-12,FALSE
NCT00953966,2007-06-30,2009-08-05,FALSE
NCT00953602,2009-04-30,2009-08-05,FALSE
NCT00953264,2007-12-31,2009-08-05,FALSE
NCT00951834,2009-10-31,2009-08-03,TRUE
NCT00942747,2009-07-31,2009-07-20,TRUE
NCT00930475,2009-02-28,2009-06-18,FALSE
NCT00929812,2006-06-30,2009-06-29,FALSE
NCT00919958,2009-06-30,2009-06-10,TRUE
NCT00914680,2009-06-30,2009-06-03,TRUE
NCT00912561,2009-06-30,2009-06-02,TRUE
NCT00910936,2009-05-31,2009-05-29,TRUE
NCT00905944,2009-12-31,2009-05-19,TRUE
NCT00888095,2010-07-31,2009-04-23,TRUE
NCT00884364,2009-05-31,2009-04-17,TRUE
NCT00884338,2009-05-31,2009-04-17,TRUE
NCT00883961,2009-12-31,2009-04-17,TRUE
NCT00883714,2009-05-31,2009-04-17,TRUE
NCT00876772,2011-03-31,2009-04-06,TRUE
NCT00871091,2007-01-31,2009-03-27,FALSE
NCT00871026,2007-03-31,2009-03-27,FALSE
NCT00869011,2009-12-31,2009-03-23,TRUE
NCT00866944,2009-03-31,2009-03-20,TRUE
NCT00866684,2007-01-31,2009-03-19,FALSE
NCT00865982,2008-09-30,2009-03-19,FALSE
NCT00852020,2009-04-30,2009-02-13,TRUE
NCT00850629,2010-01-31,2009-02-17,TRUE
NCT00844220,2009-02-18,2009-02-13,TRUE
NCT00842920,2008-12-31,2009-02-11,FALSE
NCT00841256,2008-02-29,2008-04-22,FALSE
NCT00799890,2009-05-31,2008-11-28,TRUE
NCT00787683,2008-10-31,2008-11-06,FALSE
NCT00778648,2008-09-30,2008-10-21,FALSE
NCT00772655,2007-10-31,2008-10-14,FALSE
NCT00758277,2007-05-31,2008-09-23,FALSE
NCT00758017,2009-01-31,2008-09-22,TRUE
NCT00750971,2008-08-31,2008-09-10,FALSE
NCT00715806,2008-06-30,2008-07-10,FALSE
NCT00715091,2008-09-30,2008-07-14,TRUE
NCT00685711,2008-01-31,2008-05-20,FALSE
NCT00674700,2007-10-31,2008-05-06,FALSE
NCT00673530,2006-07-31,2008-05-01,FALSE
NCT00672334,2008-05-31,2008-05-01,TRUE
NCT00670254,2009-01-31,2008-04-29,TRUE
NCT00650078,2008-03-31,2008-03-28,TRUE
NCT00636012,2008-03-31,2008-03-11,TRUE
NCT00633698,2008-01-31,2008-03-05,FALSE
NCT00633620,2007-03-31,2008-03-05,FALSE
