doi,year,pmid,oa_indicator,oa_status
10.1002/jbm.a.36170,2017,28782183,0,green
10.1002/jbm.b.33366,2016,25631281,0,closed
10.1002/jbmr.2726,2016,26426912,Bronze,bronze
10.1002/jbmr.2980,2017,27541832,Bronze,closed
10.1002/jbmr.3062,2017,27976803,0,bronze
10.1002/jbmr.3195,2017,28600880,Bronze,bronze
10.1002/jca.21477,2017,27271482,0,closed
10.1002/jca.21546,2017,28485075,0,closed
10.1002/jcb.25789,2017,27859593,NA,closed
10.1002/jclp.22319,2017,27196958,Bronze,closed
10.1002/jcp.25602,2017,27636101,0,closed
10.1002/jcph.600,2016,26222202,0,closed
10.1002/jcph.826,2017,27599663,"Other Gold, Green Published",hybrid
10.1002/jcph.828,2017,27624622,0,closed
10.1002/jcsm.12057,2016,27493870,"DOAJ Gold, Green Published",gold
10.1002/jcsm.12068,2016,27066319,"DOAJ Gold, Green Published",gold
10.1002/jcsm.12108,2016,27030815,"DOAJ Gold, Green Published",gold
10.1002/jcsm.12116,2016,27239419,"DOAJ Gold, Green Published",gold
10.1002/jcsm.12118,2016,27386168,"DOAJ Gold, Green Published",gold
10.1002/jcsm.12261,2017,29098794,NA,gold
10.1002/jhbp.370,2016,27338856,0,closed
10.1002/jmri.25125,2016,26687082,0,closed
10.1002/jmri.25129,2016,26714969,0,closed
10.1002/jmri.25342,2016,0,NA,bronze
10.1002/jmri.25366,2017,27384018,"Green Published, Other Gold",hybrid
10.1002/jmri.25516,2017,27764537,0,closed
10.1002/jmri.25549,2017,27902858,0,closed
10.1002/jmri.25614,2017,28106942,0,closed
10.1002/jmri.25642,2017,28218814,"Green Published, Other Gold",hybrid
10.1002/jor.23540,2017,28176355,Bronze,bronze
10.1002/jrs.4975,2016,0,0,closed
10.1002/jso.24249,2016,27111031,0,closed
10.1002/lary.25670,2016,26468033,0,closed
10.1002/lary.25909,2016,27010361,0,closed
10.1002/lary.25993,2016,27075602,0,closed
10.1002/lary.26087,2017,27346704,0,closed
10.1002/lary.26261,2017,27578371,0,closed
10.1002/lary.26428,2017,27943294,0,closed
10.1002/lt.24795,2017,28590598,Bronze,closed
10.1002/mabi.201500377,2016,26753995,0,closed
10.1002/mabi.201600190,2017,27430195,0,closed
10.1002/mabi.201600319,2016,27689917,0,closed
10.1002/mabi.201600499,2017,28296132,0,closed
10.1002/mabi.201600505,2017,28394490,Bronze,bronze
10.1002/macp.201700413,2017,0,0,closed
10.1002/marc.201600650,2016,27911991,0,closed
10.1002/mc.22440,2016,27023728,0,closed
10.1002/mc.22653,2017,28345785,0,closed
10.1002/mdc3.12340,2016,30363467,Bronze,bronze
10.1002/mdc3.12522,2017,30363449,Bronze,bronze
10.1002/mds.26485,2016,26695437,Green Published,hybrid
10.1002/mds.26580,2016,26948290,NA,green
10.1002/mds.26703,2017,27400763,0,closed
10.1002/mds.26704,2016,27400804,0,closed
10.1002/mds.26719,2016,27393040,0,closed
10.1002/mds.26759,2016,27548068,Green Accepted,green
10.1002/mds.26853,2017,27859611,NA,closed
10.1002/mds.27068,2017,28639263,"Green Published, Other Gold, Green Accepted",hybrid
10.1002/mnfr.201500633,2016,26610401,0,closed
10.1002/mnfr.201600274,2016,27487982,0,closed
10.1002/mnfr.201600886,2017,28371338,0,closed
10.1002/mpr.1476,2016,26178421,0,green
10.1002/mpr.1530,2017,27747969,0,green
10.1002/mpr.1533,2017,27766697,0,green
10.1002/mpr.1560,2017,28322476,0,green
10.1002/mrm.25740,2016,25988407,0,closed
10.1002/mrm.26006,2016,26485494,0,closed
10.1002/mrm.26078,2016,26714671,0,closed
10.1002/mrm.26312,2017,27342430,Green Published,green
10.1002/mrm.26484,2017,27699875,0,closed
10.1002/mrm.26534,2017,27851881,Green Published,green
10.1002/mus.24885,2016,26296490,0,closed
10.1002/mus.24959,2016,26514272,0,closed
10.1002/mus.25070,2016,26852139,0,closed
10.1002/nau.22934,2017,26607743,Other Gold,hybrid
10.1002/nau.23197,2017,28139845,0,closed
10.1002/nbm.3556,2016,27241215,Green Accepted,green
10.1002/nbm.3672,2017,28008663,0,closed
10.1002/nbm.3685,2017,28058747,0,closed
10.1002/nbm.3700,2017,28301071,0,green
10.1002/nbm.3784,2017,28915318,0,green
10.1002/oby.21576,2016,27474872,Bronze,closed
10.1002/open.201700013,2017,28638777,"DOAJ Gold, Green Published",gold
10.1002/pat.3910,2017,0,0,closed
10.1002/pat.3911,2017,0,0,closed
10.1002/pat.3917,2017,0,0,closed
10.1002/pat.3947,2017,0,0,closed
10.1002/pat.3953,2017,0,0,closed
10.1002/pat.3962,2017,0,0,closed
10.1002/pat.3963,2017,0,0,green
10.1002/path.4704,2016,26890577,0,closed
10.1002/pbc.25677,2016,26206749,0,closed
10.1002/pbc.25839,2016,26575411,0,closed
10.1002/pbc.25855,2016,26670831,0,closed
10.1002/pbc.26111,2016,27348500,0,closed
10.1002/pbc.26193,2017,27567086,0,closed
10.1002/pbc.26334,2017,27900832,0,closed
10.1002/pbc.26461,2017,28111878,0,closed
10.1002/pbc.26550,2017,28383793,0,closed
10.1002/pds.3895,2016,26530279,0,closed
10.1002/pds.4235,2017,28544026,0,closed
10.1002/pds.4277,2017,28771890,0,closed
10.1002/pds.4333,2017,28984052,0,green
10.1002/pmic.201500411,2016,26749278,0,closed
10.1002/polb.24097,2016,0,0,closed
10.1002/pon.3927,2016,26228466,0,closed
10.1002/pon.4050,2016,26632422,0,closed
10.1002/pon.4142,2017,27146798,0,closed
10.1002/pon.4433,2017,28370730,0,closed
10.1002/ppul.23310,2016,26360639,0,closed
10.1002/ppul.23824,2017,28881101,0,closed
10.1002/prca.201500031,2016,26280680,0,green
10.1002/prca.201500117,2016,27119821,"Green Published, Other Gold",hybrid
10.1002/prca.201600053,2016,27312145,0,closed
10.1002/psc.2870,2016,0,NA,closed
10.1002/psc.2995,2017,28332260,0,closed
10.1002/ptr.5554,2016,26692465,0,closed
10.1002/rcm.7905,2017,28499062,0,closed
10.1002/rth2.12003,2017,30046679,DOAJ Gold,gold
10.1002/sctm.16-0353,2017,28186704,"DOAJ Gold, Green Published",gold
10.1002/sctm.17-0130,2017,0,"DOAJ Gold, Green Published",gold
10.1002/sctm.17-0144,2017,29067781,DOAJ Gold,gold
10.1002/slct.201601513,2016,0,0,closed
10.1002/stem.2536,2017,27790794,Other Gold,hybrid
10.1002/stem.2573,2017,28100035,Bronze,bronze
10.1002/stem.2637,2017,28544378,Bronze,bronze
10.1002/term.1923,2016,24919850,0,closed
10.1002/term.1948,2017,25185781,0,closed
10.1002/term.2002,2017,25712330,0,closed
10.1002/term.2049,2017,26053675,0,closed
10.1002/term.2213,2017,28156060,"Other Gold, Green Published",hybrid
10.1002/uog.14924,2016,26094600,Bronze,bronze
10.1002/uog.17349,2017,27804175,Bronze,bronze
10.1002/wps.20387,2017,28127934,Green Published,bronze
10.1007/978-1-4939-6670-7_4,2017,27812866,NA,closed
10.1007/978-3-319-17121-0_98,2016,26427483,0,closed
10.1007/978-3-319-22533-3_22,2016,27165888,NA,closed
10.1007/978-3-319-22536-4_21,2016,26486349,0,closed
10.1007/978-3-319-41171-2_11,2016,27460812,0,closed
10.1007/978-3-319-42118-6_10,2016,27557541,NA,closed
10.1007/978-3-319-42118-6_11,2016,27557542,NA,closed
10.1007/978-3-319-43580-0_11,2017,27699536,NA,closed
10.1007/978-3-319-45457-3_7,2016,27837556,0,closed
10.1007/978-3-319-67358-5_9,2017,29080135,0,closed
