nct_id,completion_date,results_first_submitted_date,days_compl_to_summary,summary_result_12_month,summary_result_24_month,study_type,overall_status
NCT01228123,2008-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01225133,2015-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01221779,2014-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01220544,2011-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01219244,2016-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01219231,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01218165,2011-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01200784,2011-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01199133,2011-09-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01187797,2010-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01184430,2014-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01183767,2018-09-06,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01181401,2015-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01179971,2010-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01179789,2011-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01178255,2011-07-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01176110,2011-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01170949,2010-04-30,2015-07-29,1916,FALSE,FALSE,Interventional,Terminated
NCT01170936,2011-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01165970,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01157962,2018-01-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01148173,2012-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01144429,2011-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01143233,2017-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01122693,2011-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01117649,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01117597,2014-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01117519,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01112579,2015-04-30,2015-10-01,154,TRUE,TRUE,Interventional,Completed
NCT01109966,2012-10-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01106365,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01105143,2017-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01082302,2010-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01081574,2012-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01079689,2011-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01065246,2011-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01061931,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01061229,2010-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01061190,2013-04-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01057043,2011-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01054937,2010-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01050686,2015-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01049971,2011-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01049100,2017-04-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01047891,2015-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01045772,2010-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01035203,2010-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01013259,2009-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01013233,2011-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01006577,2015-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00996229,2014-02-28,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00993980,2011-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00986258,2011-01-31,2012-05-31,486,FALSE,TRUE,Interventional,Terminated
NCT00982358,2007-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00974506,2011-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00970567,2008-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00958750,2009-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00953966,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00953602,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00953264,2013-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00951834,2015-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00942747,2014-06-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00929812,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00929799,2007-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00919958,2012-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00914680,2013-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00912561,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT00910936,2010-02-28,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00905944,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00888095,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00884364,2011-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00884338,2011-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00883961,2011-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00883714,2011-08-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00871091,2009-06-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00871026,2010-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00866944,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00866684,2011-07-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT00865982,2015-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00852020,2011-04-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00850629,2016-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00844220,2018-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00844142,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00844064,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00841256,2015-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00835432,2007-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00799890,2016-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00787683,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00778648,2009-07-31,2010-09-09,405,FALSE,TRUE,Interventional,Completed
NCT00772655,2015-06-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00759226,2007-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00758277,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00758017,2011-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00744029,2007-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00727493,2010-04-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00723944,2011-05-31,2009-06-26,-704,TRUE,TRUE,Interventional,Completed
NCT00715806,2009-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00715091,2013-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00685711,2008-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00674700,2010-02-28,2016-01-25,2157,FALSE,FALSE,Interventional,Completed
NCT00673530,2008-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00672334,2012-01-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT00670254,2013-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00650078,2009-05-31,2012-11-01,1250,FALSE,FALSE,Interventional,Completed
NCT00636012,2008-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT00633698,2010-03-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT00633620,2007-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
